Проект,,,
Дата,,,
Тестировщик,,Астапова Евгения,
Предусловия,,"Составьте чек-лист для проведения smoke-тестирования плеера, используемого на сайте https://www.youtube.com (https://www.youtube.com/)  ",
Окружение,,"Windows 11,64-разрядная операционная система, процессор x64",
Вид тестрования,,Smoke,
Номер,Проверки,Статус,Комментарий
Воспроизведение видео,,,
1.,Плеер открывается корректно,,
2.,"При нажатии на кнопку ""Play"" видео запускается, воспроизведение идет без задержек.",,
3.,"При нажатии на кнопку ""Pause"" видео останавливается на текущем моменте.",,
4.,"Видео можно уменьшить скорость воспроизведения до 0.5x или 0.75x, и оно корректно работает.",,
5.,"Видео можно увеличить скорость воспроизведения до 1.25x, 1.5x или 2x, и оно воспроизводится без искажений.",,
6.,"Переход к следующему видео работает корректно через кнопку ""Next"" или автопереход.",,
7.,Переход к предыдущему видео возвращает к началу текущего или к предыдущему видео.,,
8.,Перемотка вперед по слайдеру или через горячие клавиши корректно работает.,,
9.,Перемотка назад по слайдеру или через горячие клавиши работает корректно.,,
Воспроизведение громкости,,,
10.,"Звук включается при нажатии на кнопку ""Unmute"", если был отключен.",,
11.,"Звук корректно отключается через кнопку ""Mute"".",,
12.,Громкость уменьшается при использовании регулятора или соответствующих клавиш.,,
13.,Громкость увеличивается при использовании регулятора или соответствующих клавиш.,,
Навигация видео,,,
14.,"Плеер переходит в полноэкранный режим, и все элементы управления остаются доступными.",,
15.,"Плеер возвращается из полноэкранного режима в стандартный по кнопке или клавише ""Esc"".",,