Test Suite ID,Test Case ID,Priority,Module,Summary,Preconditions,Test data,Steps,Expected Result,Remarks
Функциональные проверки,,,,,,,,,
TS-01,TC-01,High,Форма авторизации,Успешная авторизация пользователя с ипользованием валидных данных,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"":
    
2. Поле ""Пароль"":
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь авторизован в систему. Отображен личный кабинет пользователя",
,,High,Форма авторизации,Неуспешная авторизация пользователя с ипользованием невалидным данных,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""ЛогЕн"":
    
2. Поле ""Пароль"":
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное невалидное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь  не авторизован в систему.Система отображает окно"" Введите правильное значение"" и подсвечивает красным цветом поле ""Логин"".",
,,High,Форма авторизации,Неуспешная авторизация незарегистрированного пользователя,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь  не зарегистрирован в системе","1. Поле ""Login"":
    
2. Поле ""Password"":
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь не авторизован в систему. Система  отображает окно ""Пользователь не зарегистрирован"".",
,,High,Форма авторизации,"Неуспешная авторизация пользователя c незаполненным полем ""Логин""","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь  зарегистрирован в системе","1. Поле -пустое поле
    
2. Поле ""Password"":
   ","1. Нажать кнопку ""Sign in"" без ввода значений в поле ""Логин"".","1.  Система  отображает окно ""Введите данные в поле ""Логин"", пользователь не авторизован в систему.",
,,High,Форма авторизации,"Неуспешная авторизация пользователя c незаполненным полем ""Пароль""","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь  зарегистрирован в системе","1. Поле ""Login"":
    
2. Поле - пустое поле
   ","1. Нажать кнопку ""Sign in"" без ввода значений в поле ""Пароль"".","1.  Система  отображает окно ""Введите данные в поле ""Пароль"", пользователь не авторизован в систему.",
,,High,Форма авторизации,"Неуспешная авторизация пользователя c незаполненнымы полями ""Логин"", ""Пароль"".","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь  зарегистрирован в системе","1. Поле -пустое поле
    
2. Поле - пустое поле
   ","1. Нажать кнопку ""Sign in"" без ввода значений в поля ""Логин"", ""Пароль"".","1.  Система  отображает окно ""Введите данные в поля ""Логин"", ""Пароль"", пользователь не авторизован в систему.",
,,High,Форма авторизации,"Сообщение об ошибке при незаполненном поле ""Пароль"".","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь  зарегистрирован в системе","1. Поле ""Login"":
    
2. Поле - пустое поле
   ","1. Нажать кнопку ""Sign in"" без ввода значений в поле ""Пароль"".","1.  Система  отображает окно ""Введите данные в поле ""Пароль"".",
,,High,Форма авторизации,"Сообщение об ошибке при незаполненном поле ""Логин"".","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь  зарегистрирован в системе","1. Поле -пустое поле
    
2. Поле ""Password"":
   ","1. Нажать кнопку ""Sign in"" без ввода значений в поле ""Пароль"".","1.  Система  отображает окно ""Введите данные в поле ""Логин"".",
,,High,Форма авторизации,"Сообщение об ошибке при незаполненных полях ""Логин"", ""Пароль"".","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь  зарегистрирован в системе","1. Поле -пустое поле
    
2. Поле - пустое поле
   ","1. Нажать кнопку ""Sign in"" без ввода значений в поле ""Пароль"".","1.  Система  отображает окно ""Введите данные в поля ""Логин"", ""Пароль"".",
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Нефункциональные проверки,,,,,,,,,
Тестирование пользовательского интерфейса,,,,,,,,,
,ТС-14,Low,Форма авторизации,"Кнопка ""Sign in"" меняет цвет при наведении курсора ","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",,"1. Навести курсор на кнопку ""Sign in""","1. Цвет изменен на кнопке ""Sign in""",
,,Low,Форма авторизации,"Поле ""Логин"" меняет цвет при вводе невалидных данных.","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь  зарегистрирован в системе под логином ""Пользователь 1""","1. Поле ""Логин"" : ""Пользователь 2""
    

   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Нажать кнопку ""Sign in""","1. Поле ""Логин"" изменило цвет",
,,Low,Форма авторизации,"Поле ""Пароль"" меняет цвет при вводе невалидных данных.","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь  зарегистрирован в системе с паролем ""12345""","1. Поле ""Пароль"" : ""54321""
    

   ","1. Ввести значение из тестовых данных в поле ""Пароль""; 
2. Нажать кнопку ""Sign in""","1. Поле ""Пароль"" изменило цвет",
,,Low,Форма авторизации,"Поля ""Логин"", ""Пароль"" меняют цвет при вводе невалидных данных.","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь  зарегистрирован в системе под логином ""Пользователь 1"" и паролем ""12345"".","1. Поле ""Логин"" : ""Пользователь 2""
2. Поле ""Пароль"" :""54321""","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Поля ""Логин"", ""Пароль""изменили цвет",
,,Low,Форма авторизации,"Поля ""Логин"", ""Пароль"" меняют цвет при незаполненных полях.","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь  зарегистрирован в системе ","1. Поле -пустое поле
    
2. Поле - пустое поле
   ","1. Нажать кнопку ""Sign in"" без ввода значений в поля ""Логин"", ""Пароль"".","1. Поля ""Логин"", ""Пароль""изменили цвет",
,,Low,Форма авторизации,"Наличие  placeholder ""Введите Логин"" в поле ""Логин"" и ""Введите пароль"" в поле ""Пароль"".","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь  зарегистрирован в системе ",,"1. Навести курсор на поле ""Логин""; 
2. Навести курсор на кнопку ""Пароль""","1. Placeholder отображен в поле ""Логин"" ""Введите логин"";
2. Placeholder отображен в поле ""Пароль"" ""Введите пароль""
",
Тестирование производительности,,,,,,,,,
,,,,,,,,,
Тестирование совместимости,,,,,,,,,
,ТК-15,Medium,Форма авторизации,"Успешная авторизация пользователя в IE, Firefox, Chrome, Safari, Opera","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"":
    
2. Поле ""Пароль"":
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь авторизован в систему. Отображен личный кабинет пользователя в IE, Firefox, Chrome, Safari, Opera.",
Тестирование безопасности,,,,,,,,,
,ТК-17,High,Форма авторизации,Успешная авторизация с изпользованием символов в пароле разных регистров ,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"":
    
2. Поле ""ПаРоЛь"":
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь авторизован в систему. Отображен личный кабинет пользователя",
,,High,Форма авторизации,Безопасное соединение с сайтом,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
",,1.Убедиться в наличии иконки закрытого замка в URL строке,"1.На сайте ""Название"" в строке URL отображена иконка закрытого замка",
,,High,Форма авторизации,"Успешное отображение типографического знака в виде ""звёздочек"" в заполнении поля ""Пароль"".","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"":
    
2. Поле ""Пароль"":
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"" в виде звёздочек ******
",
,ТК-18,High,Форма авторизации,Успешная авторизация пользователя с ипользованием спецсимволов,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"":
    
2. Поле ""П@р0л!4иk"":
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь авторизован в систему. Отображен личный кабинет пользователя",
,ТК-19,High,Форма авторизации,Неуспешная авторизация незарегистрированного пользователя с ипользованием 1 символа в пароле,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"":
    
2. Поле ""1"":
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Sign in""","1. Введенное  значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь  не авторизован в систему.Система отображает окно"" Слишком короткий пароль"" и подсвечивает красным цветом поле ""Пароль"".",
Тестирование локализации/интернационализации,,,,,,,,,
,,,,Страница с формой авторизации в англоязычном режиме,,,,,
,,,,Проверка корректности перевода элементов интерфейса на выбранный язык.,,,"""1. Изменить язык интерфейса на любой, отличный от английского (например, русский).
2. Открыть страницу авторизации.
3. Проверить текстовые элементы: метки полей, кнопку """"Sign in"""", сообщения об ошибках.""",,
Тестирование удобства использования,,,,,,,,,
,,,,Соответствия страницы авторизации стандартам доступности ,"Сайт поддерживает функцию ""экранный диктор"" для чтения элементов страницы, а так же возможность навигации с помощью клавиатуры.",,"""1. Открыть страницу авторизации.
2. Использовать экранный диктор для чтения элементов страницы.
3. Проверить возможность навигации с помощью клавиатуры.","Все элементы доступны для экранного диктора, навигация возможна с помощью клавиатуры.",